;ISMT-III;(USMC) A4 RCO Scope [TA31RCOA4];;528930;TA31RCOA4;;;;;;;;;;243;Bldg 243 on BFI510264
;ISMT-III;(USMC) Audio Amplifier (1018933);;081426239;1018933;;;;;;;;;;243;243
;ISMT-III;(USMC) Audio Amplifier (1018933);;081426244;1018933;;;;;;;;;;243;243 1st PSC
;ISMT-III;(USMC) Ethernet Hub (1018102);;FOC1513W3WY;1018102;;;;;;;;;;243;243
;ISMT-III;(USMC) Fill Station Assembly BlueFire [1022941];;A073737;1022941;;;;;;;;;;243;243
;ISMT-III;(USMC) Fill Station Assembly BlueFire [1022941];;A076529;1022941;;;;;;;;;;243;243
;ISMT-III;(USMC) Hit Detect Camera  HI-RES [1009258-02], Floor mount;;A076178;;;;;;;;;;;243;243 SPARE (not usable with our systems)
;ISMT-III;(USMC) Hit Detect Camera  HI-RES [1009258-02], Floor mount;;A077973;;;;;;;;;;;243;243 (Right)
;ISMT-III;(USMC) Hit Detect Camera HI-RES [1009258-03], Ceiling mount;;A077059;;;;;;;;;;;243;243 (Left)
;ISMT-III;(USMC) Hit Detect Camera HI-RES [1016635-03];;A071892;1016635-03;;;;;;;;;;243;243 SPARE
;ISMT-III;(USMC) Hit Detect Camera HI-RES [1016635-03];;A071925;1016635-03;;;;;;;;;;243;243 SPARE (not usable with our systems)
;ISMT-III;(USMC) Hit Detect Camera HI-RES [1016635-03];;A071968;1016635-03;;;;;;;;;;243;243 SPARE (not usable with our systems)
;ISMT-III;(USMC) Hit Detect Camera HI-RES [1016635-03];;A071975;1016635-03;;;;;;;;;;243;243 SPARE (not usable with our systems)
;ISMT-III;(USMC) Hit Detect Camera HI-RES [1016635-03];;A071978;1016635-03;;;;;;;;;;243;243 SPARE (not usable with our systems)
;ISMT-III;(USMC) JBL Audio Speaker [8216A];;JBL 38318;8216A;;;;;;;;;;243;243
;ISMT-III;(USMC) JBL Audio Speaker [8216A];;JBL 38319;8216A;;;;;;;;;;243;243
;ISMT-III;(USMC) KVM (Keyboard, Video, Mouse switch) pullout drawer, rack mount (SMK420-D17);;0040315373;SMK420-D17;;;;;;;;;;243;243 (Left)
;ISMT-III;(USMC) KVM (Keyboard, Video, Mouse switch) pullout drawer, rack mount (SMK420-D17);;ASI06J0211;SMK420-D17;;;;;;;;;;243;243 SPARE
;ISMT-III;(USMC) KVM (Keyboard, Video, Mouse switch) pullout drawer, rack mount (SMK420-D17);;ASI06K0463;SMK420-D17;;;;;;;;;;243;243 (Spare)
;ISMT-III;(USMC) KVM (Keyboard, Video, Mouse switch) pullout drawer, rack mount (SMK420-D17);;ASI08G0176;SMK420-D17;;;;;;;;;;243;243
;ISMT-III;(USMC) M203 Rifle [1009124];;L070879;1009124;;;;;;;;;;243;243
;ISMT-III;(USMC) M203 Rifle [1009124];;L070897;1009124;;;;;;;;;;243;243
;ISMT-III;(USMC) M203 Rifle [1009124-50];;BFI421395;1009124-50;;;;;;;;;;243;
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000662;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S000691;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S002995;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S003568;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S003579;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S003821;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S003883;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S004016;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S004049;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006528;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006533;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006563;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S006647;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC) M4/SRS Magazine BlueFire [1024520];;M4S017780;1024520;;;;;;;;;;243;243
;ISMT-III;(USMC)M7-Variant M4/M16 RCO Scope [TA31RCOM855];;932076;TA31RCOM855;;;;;;;;;;243;243 on BFI526461
;ISMT-III;(USMC)M7-Variant M4/M16 RCO Scope [TA31RCOM855];;932114;TA31RCOM855;;;;;;;;;;243;243 on BFI526420
;ISMT-III;(USMC)M7-Variant M4/M16 RCO Scope [TA31RCOM855];;932146;TA31RCOM855;;;;;;;;;;243;243 on BFI510137
;ISMT-III;(USMC)M7-Variant M4/M16 RCO Scope [TA31RCOM855];;932285;TA31RCOM855;;;;;;;;;;243;243 on BFI468245
;ISMT-III;(USMC)M7-Variant M4/M16 RCO Scope [TA31RCOM855];;932398;TA31RCOM855;;;;;;;;;;243;243 on BFI679314
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;BER465604;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;BER480412;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;BER493579;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;H21373Z;1024899;;;;;;;;;;243;Shipped to DEPOT 9/17/19
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;H26803Z;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;H38894Z;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9127376;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9170287;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9-171242;1024899;;;;;;;;;;243;Puuloa (FLASHED)
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9171287;1024899;;;;;;;;;;243;Puuloa
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9171306;1024899;;;;;;;;;;243;Puuloa
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9171716;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9176820;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9176835;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9177148;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9-179070;1024899;;;;;;;;;;243;243 Upgraded to new ISMT
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9179233;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire [1024899];;M9179567;1024899;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Beretta Pistol BlueFire MSG Marine Security Guard [1024899-02];;BER388906;1024899-02;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9000686;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9000762;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9000845;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9000879;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9000952;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9000967;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9000972;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001006;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001024;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001069;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001079;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001118;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001160;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001182;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001215;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001232;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001286;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001376;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001378;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001399;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001439;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001459;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001466;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001479;1024915;;;;;;;;;;243;243
;ISMT-III;(USMC) M9 Magazines BlueFire [1024915];;M9001480;1024915;;;;;;;;;;243;243
